Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
"Williams, Elisha, House (Hawthorne)",Columbia,12/9/1999,90NR02889,-73.77162765,42.24711933,POINT (-73.77162765 42.24711933)
Marlborough Building,Broome,2/19/2008,07NR05738,-75.92192368,42.10495606,POINT (-75.92192368 42.10495606)
Brick Presbyterian Church Complex,Monroe,3/12/1992,91NR00157,-77.61639391,43.15756027,POINT (-77.61639391 43.15756027)
Montrest,Putnam,11/23/1982,90NR02371,-73.93449664,41.42897707,POINT (-73.93449664 41.42897707)
Rehoboth,Westchester,4/19/1979,90NR02449,-73.7689424,41.15609958,POINT (-73.7689424 41.15609958)
"Moore, William H., House",New York,3/16/1972,90NR00631,-73.97490788,40.76060259,POINT (-73.97490788 40.76060259)
"Gardner, Silas, House",Orange,3/28/1980,90NR02306,-74.0698438,41.52716372,POINT (-74.0698438 41.52716372)
Twilight Park Historic District,Greene,6/27/2007,06NR05695,-74.08770928,42.18619495,POINT (-74.08770928 42.18619495)
"Hallock, Joseph Nelson, House (Ann Currie-Bell House)",Suffolk,4/22/2005,04NR05395,-72.42366162,41.06567862,POINT (-72.42366162 41.06567862)
McNiven Farm Complex,Albany,11/10/1982,90NR01682,-74.00220734,42.70552323,POINT (-74.00220734 42.70552323)
Copake Iron Works Historic District,Columbia,4/18/2007,06NR05662,-73.51620702,42.12043007,POINT (-73.51620702 42.12043007)
Fort Brewerton,Oswego,3/7/1973,90NR02137,-76.14134721,43.2420951,POINT (-76.14134721 43.2420951)
"Hogeboom, Stephen, House",Columbia,8/21/1997,97NR01235,-73.74198656,42.22236058,POINT (-73.74198656 42.22236058)
Emmanuel Episcopal Church,Herkimer,7/29/2009,08NR05912,-74.85533954,43.04425638,POINT (-74.85533954 43.04425638)
Huguenot Schoolhouse (District School No. 3),Orange,8/21/1997,97NR01237,-74.63215372,41.41971371,POINT (-74.63215372 41.41971371)
First Presbyterian Church of Dailey Ridge,St. Lawrence,4/1/2002,99NR01500,-75.06322229,44.74686363,POINT (-75.06322229 44.74686363)
Cold Spring Harbor Fire District Hook & Ladder Company Building,Suffolk,11/15/2003,01NR01848,-73.4599646,40.86952282,POINT (-73.4599646 40.86952282)
"Phipps, John S., Estate (Old Westbury Gardens)",Nassau,11/8/1976,90NR01945,-73.59540179,40.77354201,POINT (-73.59540179 40.77354201)
Carter Street Schoolhouse No. 21,Jefferson,6/28/1996,96NR00951,-75.95300238,44.11940886,POINT (-75.95300238 44.11940886)
Parker Training Academy Dutch Barn,Dutchess,10/3/2007,07NR05732,-73.81753836,42.01833552,POINT (-73.81753836 42.01833552)
German Reformed Sanctity Church Parsonage,Columbia,1/30/1976,90NR00230,-73.88219693,42.14183363,POINT (-73.88219693 42.14183363)
"Van Rensselar, Stephen, House",New York,6/16/1983,90NR00757,-73.99769415,40.71909601,POINT (-73.99769415 40.71909601)
Taylor Center Methodist Episcopal Church and District #3 School,Cortland,7/30/2010,09NR06013,-75.9256744,42.61660015,POINT (-75.9256744 42.61660015)
"Austin, Nichols & Company Warehouse",Kings,6/28/2007,06NR05688,-73.9646005,40.71877084,POINT (-73.9646005 40.71877084)
Torry-Chittenden Farmhouse,Greene,8/30/2010,10NR06122,-74.18720422,42.39956917,POINT (-74.18720422 42.39956917)
Arab Mountain Fire Observation Station,St. Lawrence,9/23/2001,00NR01668,-74.59180973,44.20787169,POINT (-74.59180973 44.20787169)
Dr. Buck-Stevens House,St. Lawrence,5/20/1982,90NR02552,-74.77516158,44.80732032,POINT (-74.77516158 44.80732032)
Grace Episcopal Church Complex,Queens,9/8/1983,90NR01584,-73.80135746,40.70404575,POINT (-73.80135746 40.70404575)
Innisfree,Dutchess,9/3/2019,18NR00060,-73.74971021,41.75962255,POINT (-73.74971021 41.75962255)
Fort Washington Presbyterian Church,New York,1/7/2010,09NR06027,-73.93786749,40.84537914,POINT (-73.93786749 40.84537914)
Rosemary Lodge,Suffolk,1/14/2000,99NR01443,-72.3391455,40.9107371,POINT (-72.3391455 40.9107371)
Leopold Street Shule,Monroe,6/7/1974,90NR01472,-77.60423872,43.16479145,POINT (-77.60423872 43.16479145)
"Wisner, George T., House",Orange,6/30/2005,04NR05387,-74.32394186,41.38999424,POINT (-74.32394186 41.38999424)
Hawley-Green Street Historic District,Onondaga,5/2/1979,90NR02115,-76.14100649,43.0539147,POINT (-76.14100649 43.0539147)
Pratt Rock Park,Greene,12/10/1992,92NR00413,-74.4233364,42.31154142,POINT (-74.4233364 42.31154142)
West Almond Churches,Allegany,8/2/2000,00NR01639,-77.88421509,42.29945043,POINT (-77.88421509 42.29945043)
Old First Reformed Church,Kings,4/1/1998,97NR01247,-73.97663219,40.67356647,POINT (-73.97663219 40.67356647)
"Kurtz, J., and Sons Store Building",Queens,9/8/1983,90NR01586,-73.79702676,40.70427963,POINT (-73.79702676 40.70427963)
Revolutionary War Cemetery,Washington,8/11/2004,03NR05129,-73.32955837,43.1669065,POINT (-73.32955837 43.1669065)
Oswegatchie Pumping Station,St. Lawrence,6/11/1990,90NR03273,-75.49245596,44.69169125,POINT (-75.49245596 44.69169125)
Harmanus Bleecker Library,Albany,5/16/1996,96NR00931,-73.76162709,42.65537193,POINT (-73.76162709 42.65537193)
Cochecton Railroad Station,Sullivan,3/16/2005,04NR05328,-75.04515356,41.71738296,POINT (-75.04515356 41.71738296)
Bykenhulle,Dutchess,12/30/1991,91NR00289,-73.7707244,41.58317557,POINT (-73.7707244 41.58317557)
First Baptist Church of Springville,Erie,12/5/2008,08NR05917,-78.66672928,42.50962948,POINT (-78.66672928 42.50962948)
Clermont,Columbia,2/18/1971,90NR00218,-73.91106701,42.08331025,POINT (-73.91106701 42.08331025)
First Old School Baptist Church of Roxbury and Vega Cemetery,Delaware,4/12/1996,96NR00935,-74.53572308,42.24961449,POINT (-74.53572308 42.24961449)
"Wilson, Albert E. and Emily, House",Westchester,4/18/2007,06NR05618,-73.72883775,40.95486138,POINT (-73.72883775 40.95486138)
Cartin-Snyder-Overacker Farmstead,Rensselaer,6/5/2013,13NR06441,-73.55676526,42.83375879,POINT (-73.55676526 42.83375879)
Hamilton Union Church Rectory,Albany,11/10/1982,90NR01659,-73.90723916,42.70318184,POINT (-73.90723916 42.70318184)
Stony Point Battlefield,Rockland,1/20/1961,90NR02408,-73.97634154,41.24107585,POINT (-73.97634154 41.24107585)
DeLamar Mansion,New York,8/25/1983,90NR00812,-73.98121209,40.74968928,POINT (-73.98121209 40.74968928)
Gifford-Walker Farm,Genesee,1/10/1980,90NR00521,-78.01548257,43.13054861,POINT (-78.01548257 43.13054861)
Waverly Village Hall,Tioga,7/5/2003,03NR05066,-76.5391829,42.00092171,POINT (-76.5391829 42.00092171)
Spencerport Methodist Church,Monroe,4/11/2008,07NR05757,-77.80206647,43.19299546,POINT (-77.80206647 43.19299546)
Rockdale Community Church,Chenango,10/5/2005,05NR05452,-75.40785689,42.37769964,POINT (-75.40785689 42.37769964)
Exchange Street Historic District,Wyoming,11/21/2012,12NR06344,-78.28015885,42.86287662,POINT (-78.28015885 42.86287662)
Fiddler's Green Historic District,Erie,9/14/2018,17NR00098,-78.66621273,42.50991057,POINT (-78.66621273 42.50991057)
Eastman Terrace,Dutchess,11/26/1982,90NR00394,-73.93120663,41.69671318,POINT (-73.93120663 41.69671318)
Hunter Synagogue,Greene,12/9/1999,99NR01559,-74.21560171,42.21070744,POINT (-74.21560171 42.21070744)
Tappan Zee Playhouse,Rockland,7/21/1983,90NR02413,-73.91892793,41.09012228,POINT (-73.91892793 41.09012228)
USS EDSON,New York,6/11/1990,90NR03274,-74.00102931,40.76558111,POINT (-74.00102931 40.76558111)
Eastman Historic District,Monroe,,90NR03277,-77.60122085,43.15676969,POINT (-77.60122085 43.15676969)
Smithfield Presbyterian Church,Madison,12/12/1994,94NR00715,-75.6880087,42.96561796,POINT (-75.6880087 42.96561796)
South Salina Street Downtown Historic District,Onondaga,10/16/2009,08NR05880,-76.15211128,43.04777,POINT (-76.15211128 43.04777)
Fine Town Hall,St. Lawrence,8/2/1996,96NR00978,-75.13923415,44.2477091,POINT (-75.13923415 44.2477091)
Cottage in the Pines,Orange,10/6/2015,14NR06545,-74.734561,41.47251459,POINT (-74.734561 41.47251459)
Springfield Center Elementary School,Otsego,8/24/2011,11NR06239,-74.87405308,42.83058724,POINT (-74.87405308 42.83058724)
Bethlehem House,Albany,4/11/1973,90NR01627,-73.76700223,42.54409707,POINT (-73.76700223 42.54409707)
Lisanti Chapel,Bronx,1/11/2002,01NR01803,-73.86289514,40.88005265,POINT (-73.86289514 40.88005265)
First Presbyterian Church,Niagara,4/11/2014,13NR06524,-79.06133779,43.08665637,POINT (-79.06133779 43.08665637)
Old Cochecton Cemetery,Sullivan,11/27/1992,92NR00379,-75.0490729,41.71133466,POINT (-75.0490729 41.71133466)
Adams-Chadeayne-Taft Estate,Orange,12/18/2013,13NR06480,-74.01288699,41.44716769,POINT (-74.01288699 41.44716769)
St. Casimir's Church Complex,Albany,1/16/2018,17NR00081,-73.76383197,42.66026788,POINT (-73.76383197 42.66026788)
"Arnold, Benjamin Walworth, House and Carriage House",Albany,7/26/1982,90NR02807,-73.7684357,42.65868335,POINT (-73.7684357 42.65868335)
Arvine Heights Historic District,Monroe,6/1/2015,15NR00005,-77.63688073,43.12612261,POINT (-77.63688073 43.12612261)
Sacandaga Railroad Station,Fulton,3/7/2003,02NR05016,-74.18552691,43.21708655,POINT (-74.18552691 43.21708655)
Third Judicial District Courthouse (Jefferson Market Library),New York,11/9/1972,90NR00906,-73.99916349,40.73461579,POINT (-73.99916349 40.73461579)
Robert T. Coles House and Studio,Erie,8/30/2011,10NR06190,-78.84733552,42.92510255,POINT (-78.84733552 42.92510255)
Indian Rock Schoolhouse,Dutchess,4/1/2002,02NR01896,-73.54622839,41.86148146,POINT (-73.54622839 41.86148146)
Western New York Wine Co (Philip Argus House and Winery),Steuben,9/10/2014,14NR06568,-77.18096768,42.47091221,POINT (-77.18096768 42.47091221)
Waterloo Library,Seneca,6/14/1996,96NR00969,-76.86071885,42.90586638,POINT (-76.86071885 42.90586638)
Gamecock Cottage,Suffolk,8/30/2007,07NR05711,-73.14746838,40.926089,POINT (-73.14746838 40.926089)
"Lord, Dr. John, House",Chautauqua,3/2/1991,91NR03348,-79.28035426,42.04154834,POINT (-79.28035426 42.04154834)
Dresden District School No. 2,Washington,4/5/2019,18NR00094,-73.47851862,43.64813358,POINT (-73.47851862 43.64813358)
Turtle House,Columbia,4/2/2001,00NR01722,-73.7674569,42.2609432,POINT (-73.7674569 42.2609432)
"Sage, Russell, Memorial Church",Queens,9/22/1986,90NR01591,-73.7470899,40.60966879,POINT (-73.7470899 40.60966879)
Union Free School,Dutchess,2/27/1987,90NR00562,-73.94503203,41.5890238,POINT (-73.94503203 41.5890238)
Welch Factory Building No. 1,Chautauqua,9/26/1983,90NR00128,-79.58148253,42.32662703,POINT (-79.58148253 42.32662703)
United States Post Office-Glen Cove,Nassau,5/11/1989,90NR01707,-73.63237582,40.86316953,POINT (-73.63237582 40.86316953)
Rock Lawn and Carriage House,Putnam,11/23/1982,90NR02375,-73.94403219,41.38101127,POINT (-73.94403219 41.38101127)
Chili Mills Conservation Area,Monroe,3/12/1975,90NR01450,-77.81872302,43.08296122,POINT (-77.81872302 43.08296122)
Christ Church New Brighton,Richmond,5/27/2004,03NR05201,-74.09283736,40.64345983,POINT (-74.09283736 40.64345983)
Hipp-Kennedy Residence,Monroe,2/4/1994,94NR00542,-77.47623157,43.14312099,POINT (-77.47623157 43.14312099)
Delphi Baptist Church,Onondaga,8/24/1979,90NR02091,-75.91293053,42.87739754,POINT (-75.91293053 42.87739754)
Tall Maples [Parkside Whispering Pines] Miniature Golf Course,Monroe,12/31/2002,02NR04920,-77.54661781,43.22850415,POINT (-77.54661781 43.22850415)
Moore-Howland Estate,Greene,8/30/2010,10NR06129,-73.8563247,42.22962543,POINT (-73.8563247 42.22962543)
Saxe Embroidery Company Building,Bronx,2/2/2018,17NR00086,-73.90864896,40.82584637,POINT (-73.90864896 40.82584637)
Mount Moriah Presbyterian Church,Essex,6/1/1995,95NR00826,-73.46021176,44.04788431,POINT (-73.46021176 44.04788431)
Smith's Grain and Feed Store,Saratoga,5/8/2012,11NR06207,-73.82062688,42.89298386,POINT (-73.82062688 42.89298386)
St. Mary of the Holy Angels Motherhouse,Erie,10/24/2002,01NR01730,-78.74768548,42.97259121,POINT (-78.74768548 42.97259121)
Apple Tavern,Albany,11/10/1982,90NR01679,-73.98591709,42.70987998,POINT (-73.98591709 42.70987998)
Clark-Dearstyne-Miller Inn,Rensselaer,1/9/2008,07NR05792,-73.73497001,42.65677563,POINT (-73.73497001 42.65677563)
McGraw-Hill Building,New York,3/28/1980,90NR00645,-73.99158354,40.75751489,POINT (-73.99158354 40.75751489)
Church of the Holy Apostles,New York,4/26/1972,90NR00686,-73.99881948,40.74927934,POINT (-73.99881948 40.74927934)
Cobleskill Historic District,Schoharie,9/18/1978,90NR02684,-74.48456306,42.67707426,POINT (-74.48456306 42.67707426)
Cortland Fire Headquarters,Cortland,7/12/1974,90NR00265,-76.17892876,42.59903979,POINT (-76.17892876 42.59903979)
"Merchant, Walter, House",Albany,3/6/2002,02NR01907,-73.7628852,42.65609739,POINT (-73.7628852 42.65609739)
"Raplee, Miles, House",Yates,8/24/1994,94NR00655,-76.92330884,42.617611,POINT (-76.92330884 42.617611)
Barringer Farmhouse,Dutchess,7/9/1987,90NR00329,-73.91323833,41.89541176,POINT (-73.91323833 41.89541176)
Northside Historic District,Saratoga,12/4/1975,90NR02612,-73.69391062,42.78499952,POINT (-73.69391062 42.78499952)
D & H Railroad Complex,Clinton,11/12/1982,90NR00182,-73.44480343,44.69738981,POINT (-73.44480343 44.69738981)
Blessed Trinity Roman Catholic Church Buildings,Erie,8/3/1979,90NR01229,-78.83395842,42.93238511,POINT (-78.83395842 42.93238511)
Haskell House,Orange,6/4/1973,90NR02309,-74.04251502,41.48055321,POINT (-74.04251502 41.48055321)
Gladden Windmill (Milks Windmill),Cattaraugus,7/16/1973,90NR00092,-78.89539685,42.23538448,POINT (-78.89539685 42.23538448)
Women's Community Club of South Valley,Otsego,2/1/1999,99NR01447,-74.71067899,42.7058342,POINT (-74.71067899 42.7058342)
Leis Cottage,Franklin,11/6/1992,90NR02943,-74.14840081,44.31978067,POINT (-74.14840081 44.31978067)
Congregation Bnai Israel Synagogue,Delaware,11/21/2002,02NR04909,-74.53318037,42.1555384,POINT (-74.53318037 42.1555384)
Ingleside Home,Erie,5/25/2018,17NR00100,-78.86306981,42.91908622,POINT (-78.86306981 42.91908622)
"Hallock, George W., House",Steuben,9/24/2004,04NR05234,-77.31994903,42.33573631,POINT (-77.31994903 42.33573631)
Gilsey Hotel,New York,12/14/1978,90NR00941,-73.98813845,40.74608608,POINT (-73.98813845 40.74608608)
Liberty Monument,Essex,11/16/1989,90NR02940,-73.43490543,43.84830575,POINT (-73.43490543 43.84830575)
Franklin Village Historic District,Delaware,9/7/1984,90NR00290,-75.16570047,42.34083081,POINT (-75.16570047 42.34083081)
St. Paul's Protestant Episcopal Church,Kings,12/21/1989,90NR03153,-73.99798836,40.68169057,POINT (-73.99798836 40.68169057)
Bellport Village Historic District,Suffolk,7/4/1980,96NR01015,-72.93826612,40.75692062,POINT (-72.93826612 40.75692062)
Zoller-Frasier Round Barn,Herkimer,9/29/1984,90NR00584,-74.77554147,42.97268972,POINT (-74.77554147 42.97268972)
Lever House,New York,10/2/1983,90NR00861,-73.97287237,40.75959941,POINT (-73.97287237 40.75959941)
Welsh Residence,Onondaga,2/14/1997,96NR01121,-76.12271225,43.03577475,POINT (-76.12271225 43.03577475)
High Falls Historic District,Ulster,8/6/1998,96NR01009,-74.12688925,41.82665243,POINT (-74.12688925 41.82665243)
Ford Administration Building,Westchester,4/12/2006,04NR05313,-73.91693364,41.28578236,POINT (-73.91693364 41.28578236)
Ramapo Central School District,Rockland,8/5/2015,15NR00034,-74.17014391,41.12490508,POINT (-74.17014391 41.12490508)
Blanchard Residence,Onondaga,2/14/1997,96NR01135,-76.11903679,43.04415837,POINT (-76.11903679 43.04415837)
Sahler Stone House and Dutch Barn,Ulster,8/12/1999,99NR01483,-74.1956025,41.82503845,POINT (-74.1956025 41.82503845)
Galli-Curci Theatre,Delaware,4/12/2006,05NR05546,-74.64826799,42.14890812,POINT (-74.64826799 42.14890812)
Jay Covered Bridge,Essex,,98NR01349,-73.72516082,44.37304231,POINT (-73.72516082 44.37304231)
Staten Island Light,Richmond,11/30/2005,05NR05490,-74.14126177,40.57611067,POINT (-74.14126177 40.57611067)
"Goodyear, A. Conger, House",Nassau,12/4/2003,02NR04973,-73.59026637,40.80119288,POINT (-73.59026637 40.80119288)
Hayt's Corners Chapel and Schoolhouse,Tompkins,12/22/2005,05NR05463,-76.54220849,42.46789238,POINT (-76.54220849 42.46789238)
Esopus Meadows Lighthouse,Ulster,5/29/1979,90NR01056,-73.94165423,41.86841961,POINT (-73.94165423 41.86841961)
Mount Morris Bank,New York,12/7/1989,90NR03034,-73.93926845,40.80539092,POINT (-73.93926845 40.80539092)
Normandy Grange,Putnam,11/23/1982,90NR02373,-73.93097136,41.39221811,POINT (-73.93097136 41.39221811)
"Fleming, Bryant, House",Wyoming,10/14/2009,08NR05920,-78.09198071,42.83147935,POINT (-78.09198071 42.83147935)
Flat Rock Camp,Essex,7/26/2006,05NR05528,-73.3686035,44.37632978,POINT (-73.3686035 44.37632978)
Usonia Historic Distrcit,Westchester,9/5/2012,12NR06346,-73.7479831,41.12721706,POINT (-73.7479831 41.12721706)
Western Town Hall,Oneida,11/7/1995,94NR00753,-75.3805994,43.3083108,POINT (-75.3805994 43.3083108)
Carll House,Suffolk,9/26/1985,90NR01809,-73.34101116,40.8136699,POINT (-73.34101116 40.8136699)
Cathedral of the Immaculate Conception,Albany,6/8/1976,90NR02811,-73.75986332,42.64764351,POINT (-73.75986332 42.64764351)
Pulver-Bird House,Dutchess,7/25/2008,07NR05793,-73.63431254,41.91106203,POINT (-73.63431254 41.91106203)
Century Association Building,New York,7/15/1982,90NR00780,-73.98096953,40.75465218,POINT (-73.98096953 40.75465218)
Walden United Methodist Church,Orange,2/28/2008,07NR05759,-74.19173835,41.56040053,POINT (-74.19173835 41.56040053)
Boston & Main Railroad Bridge,Rensselaer,,11NR06202,-73.59175706,42.87621534,POINT (-73.59175706 42.87621534)
Ferguson Farm Complex,Schenectady,4/24/1987,90NR02647,-74.11566682,42.7604768,POINT (-74.11566682 42.7604768)
Barkin House,Nassau,5/18/2015,14NR06604,-73.66147393,40.58678104,POINT (-73.66147393 40.58678104)
Temple Beth Zion,Erie,1/16/2018,17NR00001,-78.87098977,42.90602937,POINT (-78.87098977 42.90602937)
Moses Yeomans House,Ulster,2/20/2009,06NR05572,-73.97399412,41.92873356,POINT (-73.97399412 41.92873356)
Oswego Meeting House and Friends' Cemetery,Dutchess,6/2/1989,90NR03132,-73.72879905,41.70251804,POINT (-73.72879905 41.70251804)
Lasell Hall (DAR Building),Schoharie,1/11/2002,01NR01837,-74.31139028,42.66201668,POINT (-74.31139028 42.66201668)
Jenning's Tavern (Patterson Inn),Steuben,9/20/1973,90NR02016,-77.06355669,42.15164193,POINT (-77.06355669 42.15164193)
Covert Historic District,Seneca,11/21/1980,90NR02206,-76.68363491,42.57400898,POINT (-76.68363491 42.57400898)
Marquardt Farm,Dutchess,7/9/1987,90NR00339,-73.86717812,41.88612773,POINT (-73.86717812 41.88612773)
Cottage Row Historic District,Franklin,11/2/1987,90NR02961,-74.13299897,44.33323095,POINT (-74.13299897 44.33323095)
Sloan Cottage,Franklin,11/6/1992,90NR02992,-74.13547269,44.3225664,POINT (-74.13547269 44.3225664)
Wheatland Baptist Cemetery [Belcoda Cemetery],Monroe,1/18/2006,05NR05511,-77.8468013,43.02351562,POINT (-77.8468013 43.02351562)
Manitoga (Russell Wright Estate),Putnam,11/15/1996,91NR00061,-73.94900034,41.34739012,POINT (-73.94900034 41.34739012)
"Straight, Elisha, House",Washington,9/15/2004,03NR05062,-73.39330971,43.36486246,POINT (-73.39330971 43.36486246)
"Sloat, Jacob, House",Rockland,12/22/2006,06NR05588,-74.19464242,41.15539312,POINT (-74.19464242 41.15539312)
Teal Park,Chemung,10/7/1983,90NR00148,-76.81946021,42.16429806,POINT (-76.81946021 42.16429806)
Young-Leach Cobblestone Farmhouse and Barn Complex,Yates,5/11/1992,92NR00315,-76.93895557,42.6380141,POINT (-76.93895557 42.6380141)
Haverling Farmhouse,Steuben,9/30/1983,90NR02026,-77.31786159,42.34511374,POINT (-77.31786159 42.34511374)
Corbin Building,New York,12/18/2003,03NR05151,-74.00912565,40.71019802,POINT (-74.00912565 40.71019802)
Bellinger-Dutton House,Schoharie,12/7/2005,05NR05482,-74.33464324,42.60382544,POINT (-74.33464324 42.60382544)
"Kennan, A. P. W., House",Suffolk,11/6/1985,90NR01910,-73.41114205,40.90366025,POINT (-73.41114205 40.90366025)
"MaGee, Merrill, House",Warren,4/11/1985,90NR02742,-73.77684835,43.49593729,POINT (-73.77684835 43.49593729)
"Burroughs, John, Riverby Study",Ulster,11/24/1968,90NR01057,-73.95675848,41.80057326,POINT (-73.95675848 41.80057326)
Greene Historic District,Chenango,9/9/1982,90NR00162,-75.77007711,42.3305816,POINT (-75.77007711 42.3305816)
Narrowsburg Methodist Church,Sullivan,2/4/2000,00NR01589,-75.0622519,41.60530974,POINT (-75.0622519 41.60530974)
Hallock Homestead,Suffolk,6/7/1984,90NR01876,-72.58593692,40.98451766,POINT (-72.58593692 40.98451766)
"Jones, A.D. (Boss), House",Schenectady,10/11/1984,90NR02630,-74.21482025,42.77458807,POINT (-74.21482025 42.77458807)
Eighty-Third Precinct Police Station and Stable,Kings,4/14/1982,90NR01269,-73.92342202,40.69968919,POINT (-73.92342202 40.69968919)
Fishkill Village District,Dutchess,3/20/1973,90NR00447,-73.90177965,41.5346459,POINT (-73.90177965 41.5346459)
Wyckoff-Snediker Family Cemetery,Queens,5/25/2001,01NR01760,-73.84890393,40.69622812,POINT (-73.84890393 40.69622812)
Boardman House,Tompkins,5/10/1971,90NR02248,-76.49790286,42.4415977,POINT (-76.49790286 42.4415977)
Cosman Family Cemetery,Orange,11/8/2006,06NR05631,-74.0042976,41.58236953,POINT (-74.0042976 41.58236953)
North Main - Bank Streets Historic District,Orleans,11/30/1994,94NR00745,-78.19334528,43.24808168,POINT (-78.19334528 43.24808168)
River Street Historic District,Rensselaer,6/3/1976,90NR00987,-73.69406977,42.73048522,POINT (-73.69406977 42.73048522)
Closter Road--Oak Tree Road Historic District,Rockland,7/12/1990,90NR03078,-73.91648109,41.01222368,POINT (-73.91648109 41.01222368)
Bannerman's Island Arsenal,Dutchess,11/23/1982,90NR00299,-73.98798395,41.45542595,POINT (-73.98798395 41.45542595)
First Presbyterian Church,Genesee,12/6/2004,03NR05192,-78.17905221,42.99639463,POINT (-78.17905221 42.99639463)
Baker Memorial Methodist Episcopal Church,Erie,11/28/2012,12NR06382,-78.62178903,42.76764042,POINT (-78.62178903 42.76764042)
Brick Tavern Stand,Schuyler,11/4/1994,94NR00739,-76.84484687,42.3477107,POINT (-76.84484687 42.3477107)
Trumpbour Homestead Farm,Ulster,9/19/1985,90NR01081,-73.95105723,42.14049367,POINT (-73.95105723 42.14049367)
"Rose, Robert H., House (DEMOLISHED)",Broome,8/26/1980,90NR00084,-75.91948116,42.09212511,POINT (-75.91948116 42.09212511)
District No. 6 Schoolhouse,Rensselaer,7/3/2008,08NR05845,-73.57473348,42.7511737,POINT (-73.57473348 42.7511737)
Culver Randel House and Mill,Orange,5/20/1998,98NR01339,-74.3515984,41.34179984,POINT (-74.3515984 41.34179984)
Stony Kill Farm,Dutchess,3/20/1980,90NR00296,-73.95124283,41.54228987,POINT (-73.95124283 41.54228987)
Buffalo Public School No. 63,Erie,8/22/2016,16NR00049,-78.82468992,42.94743884,POINT (-78.82468992 42.94743884)
DeRham Farm,Putnam,3/28/1980,90NR02362,-73.93464081,41.40567127,POINT (-73.93464081 41.40567127)
WATKINS GLEN HIGH SCHOOL,Schuyler,2/12/2015,14NR06597,-76.86867023,42.3776113,POINT (-76.86867023 42.3776113)
"Martin, D. D., House Complex",Erie,12/30/1975,90NR01243,-78.84820952,42.93637759,POINT (-78.84820952 42.93637759)
"Parke Apartments, 799 Lafayette Avenue, (aka mailing address 33 Gates Circle)",Erie,5/30/2007,06NR05636,-78.86962563,42.92009454,POINT (-78.86962563 42.92009454)
Crown Heights North Historic District,Kings,3/31/2014,13NR06488,-73.94691197,40.67421448,POINT (-73.94691197 40.67421448)
St. James AME Zion Church,Tompkins,7/22/1982,90NR02256,-76.50463665,42.43773751,POINT (-76.50463665 42.43773751)
William Payne House,Monroe,6/20/2012,12NR06322,-77.73333787,43.17952086,POINT (-77.73333787 43.17952086)
Whitestown Town Hall (Court House),Oneida,11/26/1973,90NR02073,-75.29136009,43.12134089,POINT (-75.29136009 43.12134089)
United States Post Office-Waverly,Tioga,5/11/1989,90NR02240,-76.54010887,42.00215395,POINT (-76.54010887 42.00215395)
Dayton's Corners School,Monroe,7/5/2001,01NR01761,-77.50279395,43.18181883,POINT (-77.50279395 43.18181883)
DuBois-Deyo House,Ulster,11/25/1994,94NR00748,-74.08534973,41.80568789,POINT (-74.08534973 41.80568789)
"Bellerose Village Hall, Fire Hall and Police Station",Nassau,9/28/2006,06NR05607,-73.71638992,40.72259057,POINT (-73.71638992 40.72259057)
One Railroad Avenue,Nassau,10/2/1986,90NR01737,-73.64377458,40.79281716,POINT (-73.64377458 40.79281716)
"Sherrill, Stephen, House",Suffolk,1/4/1996,95NR00858,-72.18110736,40.97274407,POINT (-72.18110736 40.97274407)
East Main Street Historic District,Otsego,11/7/1995,95NR00890,-74.97559426,42.85198795,POINT (-74.97559426 42.85198795)
United States Post Office-Canajoharie,Montgomery,11/17/1988,90NR01547,-74.57295492,42.90660227,POINT (-74.57295492 42.90660227)
Pierrepont Manor Complex,Jefferson,9/15/1977,90NR01132,-76.06147999,43.73447829,POINT (-76.06147999 43.73447829)
Arsenal House,Oneida,7/18/1974,90NR02069,-75.46704285,43.21574388,POINT (-75.46704285 43.21574388)
Green-Wood Cemetery,Kings,3/8/1997,94NR00549,-73.99025381,40.65214719,POINT (-73.99025381 40.65214719)
Buffalo State Hospital,Erie,1/12/1973,90NR01206,-78.88431068,42.9298684,POINT (-78.88431068 42.9298684)
"Hand, Elias, House",Orange,8/28/1998,98NR01375,-74.08053698,41.40052716,POINT (-74.08053698 41.40052716)
Silver Bay Association Complex,Warren,3/20/1980,90NR02692,-73.50548433,43.69392231,POINT (-73.50548433 43.69392231)
Fulton County Courthouse,Fulton,7/24/1972,90NR00518,-74.37494318,43.00678934,POINT (-74.37494318 43.00678934)
Glens Falls Cemetery,Warren,7/28/2004,01NR01814,-73.65332096,43.32163053,POINT (-73.65332096 43.32163053)
Stillwater Bridge,Oswego,11/7/1997,97NR01259,-75.92168988,43.54472705,POINT (-75.92168988 43.54472705)
"Hart, Eleazer, House",Westchester,7/29/1982,90NR02466,-73.84124733,40.94152053,POINT (-73.84124733 40.94152053)
United States Post Office-Long Island City,Queens,5/11/1989,90NR01575,-73.94861871,40.74572445,POINT (-73.94861871 40.74572445)
First United Methodist Church,Fulton,2/20/1998,97NR01250,-74.34618181,43.05205389,POINT (-74.34618181 43.05205389)
United States Post Office-Carthage,Jefferson,11/17/1988,90NR01158,-75.60736261,43.98039617,POINT (-75.60736261 43.98039617)
Gansevoort-Bellamy Historic District,Oneida,11/12/1975,90NR02071,-75.45559866,43.21285612,POINT (-75.45559866 43.21285612)
